,School,G,W,L,W-L%,SRS,SOS, ,W,L, ,W,L, ,W,L, ,Tm.,Opp., ,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
233,Providence_1997,36,24,12,.667,14.18,8.32,,10,8,,,,,,,,2755,2525,,1460,969,2168,.447,209,622,.336,608,841,.723,478,1342,580,336,138,559,720
234,Purdue_1997,30,18,12,.600,12.24,10.91,,12,6,,,,,,,,2162,2122,,,727,1717,.423,172,508,.339,536,741,.723,422,1071,442,250,116,494,503
236,Rhode Island_1997,30,20,10,.667,16.50,6.40,,12,4,,,,,,,,2420,2117,,,887,1925,.461,205,565,.363,441,641,.688,437,1172,483,263,145,397,589
246,Saint Joseph's_1997,33,26,7,.788,12.96,7.71,,13,3,,,,,,,,2351,2178,,,782,1897,.412,276,743,.371,511,728,.702,427,1190,461,239,79,408,615
248,Saint Mary's (CA)_1997,31,23,8,.742,3.21,-0.89,,10,4,,,,,,,,2188,2017,,,739,1575,.469,209,573,.365,501,738,.679,333,1067,523,200,128,496,575
259,South Alabama_1997,30,23,7,.767,4.03,-4.51,,14,4,,,,,,,,1987,1699,,,681,1526,.446,128,347,.369,497,711,.699,407,1131,376,186,115,406,517
261,South Carolina_1997,32,24,8,.750,14.39,7.01,,15,1,,,,,,,,2371,2133,,,793,1758,.451,229,618,.371,556,800,.695,403,1178,425,225,100,452,529
267,Southern California_1997,28,17,11,.607,13.38,10.09,,12,6,,,,,,,,2229,2137,,,755,1711,.441,180,520,.346,539,771,.699,423,1045,416,259,83,522,617
276,Stanford_1997,30,22,8,.733,19.73,9.05,,12,6,,,,,,,,2427,2071,,,822,1835,.448,222,570,.389,561,752,.746,439,1206,534,208,117,418,590
280,Temple_1997,31,20,11,.645,14.68,9.04,,10,6,,,,,,,,2055,1880,,,713,1790,.398,180,619,.291,449,678,.662,491,1211,348,251,117,326,420
294,Texas State_1997,29,16,13,.552,-7.55,-7.73,,10,6,,,,,,,,2045,2014,,,698,1579,.442,162,447,.362,487,690,.706,356,1098,331,186,64,478,627
296,Texas_1997,30,18,12,.600,12.33,9.46,,10,6,,,,,,,,2290,2204,,,781,1891,.413,222,690,.322,506,741,.683,455,1165,384,280,132,462,686
301,Tulsa_1997,34,24,10,.706,14.99,5.52,,12,4,,,,,,,,2463,2141,,,844,1925,.438,222,650,.342,553,839,.659,516,1393,516,270,127,555,642
302,UCLA_1997,32,24,8,.750,16.48,10.29,,15,3,,,,,,,,2558,2360,,,932,1791,.520,125,364,.343,569,848,.671,386,1207,533,259,123,574,566
304,Utah_1997,33,29,4,.879,17.56,5.44,,15,1,,,,,,,,2456,2035,,,886,1785,.496,166,463,.359,518,714,.725,357,1250,574,205,108,464,596
305,Valparaiso_1997,31,24,7,.774,3.71,-4.98,,13,3,,,,,,,,2356,2048,,,838,1782,.470,187,481,.389,493,732,.673,443,1184,481,247,86,472,674
