Rk,School,SOS,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
290,Southern,-9.57,781,1937,177,540,793,429,1285,435
291,St. Bonaventure NCAA,2.61,884,1959,255,597,794,344,1208,391
292,St. Francis (NY),-7.32,784,1889,271,421,591,322,1046,390
293,St. John's (NY),10.69,867,1999,232,446,602,288,1110,393
294,Stanford,7.14,925,2007,233,572,835,395,1368,525
295,Stephen F. Austin NCAA,-6.46,1000,2059,242,577,819,399,1248,540
296,Stetson,-6.46,907,2053,250,348,518,292,1099,350
297,Stony Brook,-2.28,779,1866,249,398,606,364,1152,448
298,Syracuse NCAA,10.02,832,1995,208,594,807,433,1375,460
299,Temple,7.79,845,1990,271,347,509,337,1120,357
300,Tennessee-Martin,-4.96,808,1806,210,309,426,306,1086,449
301,Tennessee State,-2.98,669,1574,223,436,590,261,989,442
302,Tennessee Tech,-3.54,844,1924,242,483,710,336,1174,471
303,Tennessee NCAA,10.12,885,2012,273,541,715,404,1262,422
304,Texas A&M-Corpus Christi,-6.56,691,1589,149,432,603,292,1005,461
305,Texas A&M NCAA,10.62,976,2121,230,449,679,429,1450,476
306,Texas-Arlington,-1.43,927,2054,294,492,713,375,1333,507
307,Texas Christian NCAA,9.68,979,1973,274,476,674,365,1201,419
308,Texas-El Paso,-0.20,754,1736,224,362,542,217,1036,381
309,Texas-Rio Grande Valley,-2.84,833,2061,205,619,835,379,1240,447
310,Texas-San Antonio,-0.93,972,2224,353,443,656,374,1394,440
311,Texas Southern NCAA,-5.53,925,2111,280,657,906,368,1301,453
312,Texas State,-3.44,773,1782,214,430,651,363,1144,442
313,Texas Tech NCAA,9.60,964,2096,252,579,823,396,1332,454
314,Texas NCAA,10.67,882,2010,245,441,663,358,1217,399
315,Toledo,-1.75,913,1953,327,534,725,319,1253,395
316,Towson,-3.14,889,1905,210,458,667,398,1219,405
317,Troy,-2.11,848,1930,292,487,662,319,1194,408
318,Tulane,2.08,800,1779,232,437,613,294,1068,409
319,Tulsa,2.38,754,1730,247,522,720,346,1177,399
320,UCLA NCAA,6.86,927,2014,310,515,715,335,1283,399
321,Utah State,2.65,865,1904,317,442,627,290,1131,441
322,Utah Valley,-1.76,926,1919,267,538,725,351,1297,474
323,Utah,6.40,876,1903,322,497,655,266,1174,414
324,Valparaiso,0.93,781,1740,213,477,674,294,1115,469
325,Vanderbilt,10.14,775,1775,289,477,642,311,1081,379
326,Vermont,-3.17,879,1803,260,569,755,269,1160,388
327,Villanova NCAA,10.24,1220,2440,464,559,718,380,1436,426
328,Virginia Commonwealth,2.42,921,2013,274,391,566,342,1203,446
329,VMI,-4.25,688,1729,225,353,477,283,1028,442
330,Virginia Tech NCAA,6.72,931,1865,289,483,681,244,1078,395
331,Virginia NCAA,9.07,848,1844,247,340,451,282,1099,290
332,Wagner,-6.90,839,1963,269,501,705,446,1290,451
333,Wake Forest,8.79,801,1826,241,430,583,337,1108,407
334,Washington State,5.22,801,1795,341,327,444,258,1007,421
335,Washington,6.06,900,1963,230,505,720,328,1114,453
336,Weber State,-2.88,846,1722,280,462,603,182,1039,368
337,West Virginia NCAA,9.36,1036,2374,322,570,744,513,1401,420
338,Western Carolina,-1.63,774,1885,234,408,597,371,1101,476
339,Western Illinois,-2.28,749,1607,188,326,456,196,990,350
340,Western Kentucky,3.65,1075,2183,206,623,869,369,1356,441
341,Western Michigan,-1.99,845,1926,233,479,659,356,1130,342
342,Wichita State NCAA,5.46,957,2009,300,517,700,404,1336,385
343,William & Mary,-1.32,910,1782,337,479,591,209,1020,382
344,Winthrop,-5.84,859,1803,296,450,623,283,1125,429
345,Wisconsin,9.50,793,1770,216,404,578,299,1010,353
346,Wofford,-2.45,901,1906,357,419,538,272,1099,413
347,Wright State NCAA,-3.64,873,2019,237,517,723,354,1266,459
348,Wyoming,3.54,873,1959,304,583,790,231,1148,449
349,Xavier NCAA,9.45,1011,2055,274,657,843,340,1342,441
350,Yale,-2.83,831,1797,252,398,551,275,1052,407
351,Youngstown State,-2.56,902,2110,235,371,583,457,1159,460


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">CBB at Sports Reference</a>: <a href="https://www.sports-reference.com/cbb/seasons/2018-school-stats.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#basic_school_stats">View Original Table</a><br>Generated 10/17/2018.
